State,State ANSI,County,County ANSI,Zip Code,Data Item,Value
GEORGIA,13,DOUGHERTY,95,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,EARLY,99,,SORGHUM - OPERATIONS WITH SALES,2
GEORGIA,13,EARLY,99,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,GRADY,131,,SORGHUM - OPERATIONS WITH SALES,7
GEORGIA,13,GRADY,131,,"SORGHUM - SALES, MEASURED IN $","515,000"
GEORGIA,13,LEE,177,,SORGHUM - OPERATIONS WITH SALES,4
GEORGIA,13,LEE,177,,"SORGHUM - SALES, MEASURED IN $","61,000"
GEORGIA,13,MILLER,201,,SORGHUM - OPERATIONS WITH SALES,4
GEORGIA,13,MILLER,201,,"SORGHUM - SALES, MEASURED IN $","134,000"
GEORGIA,13,RANDOLPH,243,,SORGHUM - OPERATIONS WITH SALES,6
GEORGIA,13,RANDOLPH,243,,"SORGHUM - SALES, MEASURED IN $","300,000"
GEORGIA,13,SEMINOLE,253,,SORGHUM - OPERATIONS WITH SALES,2
GEORGIA,13,SEMINOLE,253,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,STEWART,259,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,STEWART,259,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,SUMTER,261,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,SUMTER,261,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,TERRELL,273,,SORGHUM - OPERATIONS WITH SALES,4
GEORGIA,13,TERRELL,273,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,THOMAS,275,,SORGHUM - OPERATIONS WITH SALES,5
